rank,pair_id,sym_a,sym_b,sector,composite_score,return_corr,n_trades,total_pnl,sharpe,calmar,win_rate,avg_win,avg_loss,profit_factor,avg_bars_held,avg_half_life,total_cost,cost_pct
1,GRT__ARKM,GRT,ARKM,all,0.6223,0.6176,5,66757.27,34.62,5070.44,0.8,17433.41,-2976.36,23.43,31.0,59.6,1996.29,0.17
2,AR__TIA,AR,TIA,all,0.6795,0.775,4,58839.35,23.48,54261.37,0.75,19726.2,-339.25,174.44,28.0,38.3,1414.72,0.13
3,SSV__WCT,SSV,WCT,all,0.7509,0.903,6,42460.32,75.0,0.0,1.0,7076.72,0.0,inf,18.7,11.3,2565.38,0.14
4,ACE__HOOK,ACE,HOOK,all,0.6732,0.7139,14,38890.59,32.47,1424.48,0.857,3594.42,-2121.24,10.17,25.1,44.7,3291.53,0.12
5,HFT__HOOK,HFT,HOOK,all,0.6321,0.5756,15,37729.89,18.7,351.19,0.8,4090.85,-3786.78,4.32,31.6,26.7,4025.71,0.16
6,DOT__SSV,DOT,SSV,all,0.7067,0.8097,9,35112.27,27.3,1101.01,0.889,4757.59,-2948.43,12.91,42.1,45.5,3551.18,0.15
7,DENT__QI,DENT,QI,all,0.6707,0.6196,6,33674.5,18.55,906.3,0.667,10816.72,-4796.19,4.51,27.3,25.5,997.3,0.13
8,ALGO__GTC,ALGO,GTC,all,0.6103,0.4467,8,33550.92,20.87,1166.87,0.5,9559.25,-1171.52,8.16,26.9,44.0,3085.58,0.15
9,OP__ORDI,OP,ORDI,all,0.6854,0.7914,7,32718.92,21.57,1205.75,0.857,6001.5,-3290.1,10.94,41.3,40.4,2922.48,0.15
10,GRT__TLM,GRT,TLM,all,0.6689,0.6506,8,30938.36,55.07,0.0,1.0,3867.3,0.0,inf,17.5,28.9,2126.3,0.14
11,XAI__REZ,XAI,REZ,all,0.6816,0.721,13,28890.85,30.34,646.15,0.923,2794.99,-4649.03,7.21,25.9,34.9,4621.7,0.13
12,BROCCOLI714__INIT,BROCCOLI714,INIT,all,0.6631,0.5823,9,28740.38,57.34,3379.76,0.889,3876.87,-2274.57,13.64,14.6,32.1,3186.21,0.11
13,1INCH__GRT,1INCH,GRT,all,0.6559,0.8005,6,25629.24,76.6,0.0,1.0,4271.54,0.0,inf,25.8,32.2,2407.85,0.14
14,YGG__USTC,YGG,USTC,all,0.6908,0.8562,3,24736.69,45.92,0.0,1.0,8245.56,0.0,inf,27.0,36.3,875.05,0.15
15,ROSE__INJ,ROSE,INJ,all,0.6466,0.6435,6,24660.96,18.77,2653.01,0.667,6593.08,-855.67,15.41,39.5,38.8,1183.13,0.19
16,LDO__IMX,LDO,IMX,all,0.5015,0.4284,5,24253.23,29.48,2853.93,0.8,6430.03,-1466.88,17.53,40.6,50.3,1338.72,0.18
17,ARKM__ID,ARKM,ID,all,0.5518,0.5338,6,23740.45,23.37,3461.44,0.667,6206.97,-543.72,22.83,36.8,45.8,1628.38,0.12
18,LTC__MBOX,LTC,MBOX,all,0.6525,0.6686,10,23679.33,38.41,5198.85,0.8,3046.61,-346.76,35.14,25.9,27.9,2674.07,0.15
19,1INCH__THETA,1INCH,THETA,all,0.6597,0.7563,6,22938.74,77.61,0.0,1.0,3823.12,0.0,inf,20.3,27.7,2446.91,0.15
20,CHZ__SLP,CHZ,SLP,all,0.5826,0.5411,4,22598.34,49.09,4186.13,0.75,8265.95,-2199.53,11.27,21.5,40.3,1351.7,0.18
21,CHZ__ZRO,CHZ,ZRO,all,0.6705,0.8316,3,22176.07,77.79,0.0,1.0,7392.02,0.0,inf,30.7,44.7,1457.59,0.16
22,OGN__ETHFI,OGN,ETHFI,all,0.7021,0.8083,3,22074.15,47.85,0.0,1.0,7358.05,0.0,inf,42.3,32.7,1236.96,0.14
23,DOT__GMT,DOT,GMT,all,0.6685,0.6476,7,21930.52,55.33,0.0,1.0,3132.93,0.0,inf,23.1,39.0,2207.86,0.11
24,REZ__XAI,REZ,XAI,all,0.6846,0.721,9,21872.21,100.49,0.0,1.0,2430.25,0.0,inf,23.9,33.8,2799.97,0.12
25,MEME__TURBO,MEME,TURBO,all,0.6853,0.6751,4,21719.07,45.66,32473.4,0.75,7356.29,-349.79,63.09,16.8,39.6,1165.75,0.12
26,ATOM__ENJ,ATOM,ENJ,all,0.6965,0.7679,10,21584.88,42.48,1668.73,0.9,2633.65,-2117.95,11.19,21.4,37.6,2068.17,0.12
27,XLM__SFP,XLM,SFP,all,0.6524,0.6097,7,20900.94,36.66,3630.01,0.857,3642.1,-951.67,22.96,30.3,32.5,2466.87,0.16
28,VANRY__BOME,VANRY,BOME,all,0.6162,0.5491,9,20657.6,15.79,243.96,0.667,5878.96,-4872.06,2.41,22.6,45.8,3291.12,0.18
29,TLM__ZIL,TLM,ZIL,all,0.7058,0.7269,9,20176.59,49.04,3167.03,0.778,3079.46,-689.81,15.62,18.1,14.3,2189.55,0.12
30,THETA__MINA,THETA,MINA,all,0.6437,0.8307,4,19465.13,34.62,0.0,1.0,4866.28,0.0,inf,44.8,50.4,1285.94,0.13
31,MAV__ASTR,MAV,ASTR,all,0.7097,0.67,18,19247.39,22.59,1004.32,0.722,1960.23,-1247.12,4.09,20.1,24.7,5026.97,0.11
32,XLM__SPELL,XLM,SPELL,all,0.6181,0.5167,7,19121.45,54.25,75557.27,0.857,3207.72,-124.9,154.1,10.1,21.6,2409.45,0.2
33,XLM__PNUT,XLM,PNUT,all,0.7212,0.8171,5,18753.52,12.47,329.95,0.6,9442.51,-4787.01,2.96,55.2,44.5,2467.39,0.16
34,FIL__MINA,FIL,MINA,all,0.6604,0.6546,5,18300.39,64.96,0.0,1.0,3660.08,0.0,inf,20.8,25.2,1395.97,0.14
35,VET__KAVA,VET,KAVA,all,0.668,0.7121,5,18291.22,58.43,0.0,1.0,3658.24,0.0,inf,17.8,25.1,1339.76,0.15
