pair_id,sym_a,sym_b,sector,direction,beta_entry,beta_exit,entry_bar,exit_bar,bars_held,half_life,entry_price_a,entry_price_b,exit_price_a,exit_price_b,entry_z,exit_z,entry_spread,exit_spread,exit_reason,entry_beta_P11,exit_beta_P11,entry_innov_S,entry_confidence,entry_implied_rho,entry_regime_conf,entry_adaptive_z,entry_quality,entry_z_peak,notional,entry_equity,position_pct,gross_pnl,total_cost,net_pnl,pnl_pct
FIL__GTC,FIL,GTC,all,1,0.877716,0.831699,3021,3043,22,44.2,21.09,8.3,21.14,8.084,-2.1185,-0.6524,-0.073705,-0.034877,signal,3.45e-02,3.16e-02,3.03e-02,0.789,1.1834,0.083,2.0,0.065,2.86,12442.31,999051.21,0.0125,174.04,15.7465,158.29,0.0127
GTC__FIL,GTC,FIL,all,-1,0.825387,0.855066,3018,3071,53,43.8,8.107,21.02,8.074,20.89,2.1694,0.5175,0.077222,0.041857,signal,3.61e-02,3.58e-02,3.02e-02,0.77,0.6136,0.734,2.0,0.565,2.169,110048.02,1000000.0,0.11,-281.98,147.7505,-429.73,-0.0039
RUNE__GRT,RUNE,GRT,all,1,1.017989,0.94771,3045,3091,46,32.2,4.193,0.4296,4.16,0.4311,-2.0641,-0.678,-0.025415,-0.025067,signal,5.85e-02,5.29e-02,1.30e-02,0.762,0.867,1.0,2.0,0.762,2.064,149985.23,999901.56,0.15,-820.76,178.1321,-998.89,-0.0067
MBOX__MASK,MBOX,MASK,all,-1,0.514925,0.530888,3111,3137,26,34.2,2.838,6.375,2.727,5.98,2.2977,0.6718,0.036643,0.021892,signal,2.75e-02,2.71e-02,1.61e-02,0.678,0.587,0.696,2.0,0.472,2.298,104224.27,998729.67,0.1044,-3688.97,176.1095,-3865.08,-0.0371
MBOX__MASK,MBOX,MASK,all,-1,0.528824,0.517831,3144,3166,22,34.2,2.882,5.953,2.735,5.769,2.9004,0.6672,0.077537,0.032806,signal,2.71e-02,2.69e-02,2.40e-02,0.689,0.5798,0.685,2.0,0.472,3.588,102296.64,994864.59,0.1028,-122.98,172.1357,-295.12,-0.0029
SHIB__XRP,SHIB,XRP,all,1,1.719186,1.639222,3366,3382,16,34.1,2.2e-05,0.6633,2.3e-05,0.6682,-2.2186,-0.5521,-0.071657,-0.037636,signal,1.03e-01,9.33e-02,2.35e-02,0.813,1.1994,0.003,2.0,0.002,4.047,416.42,997928.71,0.0004,5.34,0.3803,4.96,0.0119
CHZ__ALICE,CHZ,ALICE,all,-1,0.479594,0.541824,3309,3391,82,47.6,0.1914,6.88,0.2079,7.73,2.0783,0.7407,0.039121,0.033326,signal,3.06e-02,2.76e-02,1.77e-02,0.635,0.546,0.637,2.0,0.405,2.078,95060.92,994569.47,0.0956,7088.01,179.8606,6908.15,0.0727
RUNE__GRT,RUNE,GRT,all,-1,0.992653,1.113671,3389,3485,96,32.2,4.512,0.4537,4.739,0.4463,2.0286,1.0332,0.025291,0.062086,beta_break,4.27e-02,3.64e-02,1.74e-02,0.792,0.8397,1.0,2.0,0.792,2.313,150295.69,1001971.29,0.15,-4802.89,182.1416,-4985.03,-0.0332
MBOX__MASK,MBOX,MASK,all,-1,0.525336,0.600098,3452,3512,60,34.2,3.035,6.665,3.222,6.854,2.0252,0.5833,0.043086,0.050548,signal,1.94e-02,1.80e-02,1.63e-02,0.735,0.5493,0.642,2.0,0.471,2.637,96020.0,997321.28,0.0963,-490.32,168.8972,-659.22,-0.0069
SHIB__XRP,SHIB,XRP,all,-1,1.38632,1.394029,3534,3536,2,34.1,2.4e-05,0.6698,2.8e-05,0.6719,3.5253,7.0618,0.040555,0.157352,z_stop,6.07e-02,6.05e-02,2.00e-02,0.822,0.9215,1.0,2.0,0.822,3.525,148141.03,987606.86,0.15,-7501.46,151.963,-7653.42,-0.0517
